smiles_c,reacted_c
"CC(C)(C)OC(=O)N1C[C@@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, OC(=O)c1cocn1",O=C(N[C@@H]1C[C@@H](C(=O)[Fr])N([At])C1)C1=COC=N1
C[C@@H](OCc1ccccc1)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O,C[C@@H](OCC1=CC=CC=C1)[C@H](N[At])C(=O)[Fr]
CC[C@H](C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O,CC[C@H](C)[C@H](N[At])C(=O)[Fr]
"CC(C)(C)OC(=O)N1C[C@@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, OC(=O)c1cnc[nH]1",O=C(N[C@@H]1C[C@@H](C(=O)[Fr])N([At])C1)C1=CN=CN1
OC(=O)CCCNC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])CCCN[At]
NC(=O)CC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O,NC(=O)CC[C@@H](N[At])C(=O)[Fr]
"CC(C)(C)OC(=O)NCC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, OC(=O)c1ccccn1",O=C(N[C@H](CCN[At])C(=O)[Fr])C1=NC=CC=C1
OC(=O)[C@@H]1Cc2c(CN1C(=O)OCC1c3ccccc3-c3ccccc13)[nH]c1ccccc21,O=C([Fr])[C@@H]1CC2=C(CN1[At])NC1=CC=CC=C21
OC(=O)[C@H]1CCCC[C@H]1NC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])[C@H]1CCCC[C@H]1N[At]
"CC(C)(C)OC(=O)N1C[C@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, OC(=O)c1ccccn1",O=C(N[C@H]1C[C@@H](C(=O)[Fr])N([At])C1)C1=NC=CC=C1
C[C@@H](CC(=O)O)NC(=O)OC(C)(C)C,C[C@@H](CC(=O)[Fr])N[At]
"CC(C)(C)OC(=O)NC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, O=CCCCC=O",O=C([Fr])[C@@H](CN[At])N1CCCCC1
"CC(C)(C)OC(=O)NCC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, O=CCCCC=O",O=C([Fr])[C@@H](CCN[At])N1CCCCC1
OC(=O)[C@@H](COCc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])[C@@H](COCC1=CC=CC=C1)N[At]
"[H][C@@](CCC(O)=O)(NC(=O)OC(C)(C)C)C(=O)OC, CN1CCNCC1",CN1CCN(C(=O)[C@H](CCC(=O)[Fr])N[At])CC1
"CC(C)(C)OC(=O)NC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, OC(=O)c1ccncc1",O=C(N[C@@H](CN[At])C(=O)[Fr])C1=CC=NC=C1
"CC(C)(C)OC(=O)NCC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, OC(=O)c1cocn1",O=C(N[C@H](CCN[At])C(=O)[Fr])C1=COC=N1
CC(C)(C)OC(=O)N1CC[C@H]1C(O)=O,O=C([Fr])[C@@H]1CCN1[At]
"CC(C)(C)OC(=O)NC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, OC(=O)c1cocn1",O=C(N[C@@H](CN[At])C(=O)[Fr])C1=COC=N1
CC(C)(C)OC(=O)N[C@H]1C[C@H](C1)C(O)=O,O=C([Fr])[C@H]1C[C@@H](N[At])C1
CC(C)(C)OC(=O)N[C@@H](CO)C(=O)O,O=C([Fr])[C@H](CO)N[At]
OC(=O)[C@@H]1CC[C@@H](C1)NC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])[C@@H]1CC[C@H](N[At])C1
"COC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(O)=O, C1CCNCC1",O=C([Fr])[C@H](CCC(=O)N1CCCCC1)N[At]
"CC(C)(C)OC(=O)NCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, O=CCCCC=O",O=C([Fr])[C@H](CCN[At])N1CCCCC1
"CC(C)(C)OC(=O)N1C[C@@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, OC(=O)c1ccncc1",O=C(N[C@@H]1C[C@@H](C(=O)[Fr])N([At])C1)C1=CC=NC=C1
"CC(C)(C)OC(=O)NC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, OC(=O)c1cnc[nH]1",O=C(N[C@@H](CN[At])C(=O)[Fr])C1=CN=CN1
